video_id,video_title,upload_date,video_duration_seconds,publishing_time,view_count,like_count,comment_count,title_length,view_count_class
aWV0HUrimAA,KHAID TYPE BEAT,2022-05-05,122,14:08:53,217,3,0,15,0
-K6VpcxShto,BURNA BOY X SATAN DAVE TYPE BEAT,2022-07-15,68,15:08:15,182,6,0,32,0
J_PRdLwQiiE,CHINA (AFROBEATS TYPE BEAT),2021-07-24,103,06:59:28,160,5,3,27,0
x06Kd0tUG_c,ODUMODUBLAVCK X ZLATAN TYPE BEAT,2022-12-30,109,07:27:45,69,4,0,32,0
Fmk64yyh0vY,BELLA SHMURDA TYPE BEAT,2021-11-06,107,09:19:19,3872,47,2,23,1
kQNy1RP_FDs,REEKADO BANKS TYPE BEAT (ZUMBA),2021-12-24,78,16:36:53,127,1,0,31,0
e5t_lBMEh3I,TRIBUTE TO MOHBAD INSTRUMENTAL,2023-09-21,65,17:44:33,138,3,2,30,0
yW1X7yqXW20,BURNA BOY X FIREBOY TYPE BEAT,2021-10-29,111,19:51:15,106,1,1,29,0
3j0aKe8mb-U,LIL KESH X NAIRA MARLEY TYPE BEAT,2022-04-19,100,10:05:12,221,5,0,33,0
drF-WX7tQ_A,KING PROMISE X OMAH LAY TYPE BEAT,2023-07-15,123,22:11:17,154,2,0,33,0
VRYcVbSFdCU,CRUISE (AFROBEATS TYPE BEAT),2022-04-01,100,11:27:59,358,4,0,28,0
24V1pjN3Igo,BUJU X WIZKID TYPE BEAT,2022-06-24,86,01:51:55,51,3,0,23,0
s8twRQuro1A,SHALLIPOPI X ASAKE TYPE BEAT,2023-11-17,97,08:02:45,256,6,2,28,0
NkYQD1sudA4,KIZZ DANIEL X KHAID TYPE BEAT,2022-05-28,169,23:49:25,174,2,2,29,0
2eEpRjYs4Vg,VICTONY X JOEBOY TYPE BEAT,2022-07-02,92,15:05:19,106,11,1,26,0
IifliCVPPvk,NONSO AMADI TYPE BEAT,2021-07-16,66,17:06:42,701,14,3,21,1
SW-VTQkyTnw,RUGER TYPE BEAT,2021-06-25,72,09:12:04,103,2,2,15,0
tkG_ReRLCwA,GUILTY (AFROBEATS TYPE BEAT),2023-01-06,83,11:56:23,52,4,0,28,0
LESBIQrO5PM,BUJU TYPE BEAT,2021-07-10,115,07:00:26,87,0,1,14,0
Gjf6YH1Sd18,WIZKID X ASAKE TYPE BEAT,2022-11-04,70,09:40:50,136,5,0,24,0
5coUUdRxu9w,OLAMIDE X BADBOYTIMZ TYPE BEAT,2021-09-17,76,16:47:20,136,0,0,30,0
C8g39S5K3fo,(AFRO SOUL) AFROBEATS TYPE BEAT,2021-05-08,100,14:48:43,52,2,0,31,0
EQ6BwhSuWg0,FAVE TYPE BEAT,2022-02-04,66,18:11:45,134,1,0,14,0
9-VDg0_RV1c,TENI X SIMI TYPE BEAT,2022-12-09,125,03:09:59,105,7,0,21,0
wcgQOlHPXio,TENET (AFROBEATS TYPE BEAT),2022-03-18,98,16:01:25,351,6,2,27,0
Ev2NV1i18Go,RUGER X SARKODIE TYPE BEAT,2024-01-07,139,18:16:56,1103,12,6,26,1
hxLRefX2EkQ,BUJU X TAVES TYPE BEAT,2022-06-17,153,00:43:31,319,10,1,22,0
KC0DxHtDQmY,1DA BANTON TYPE BEAT,2022-11-18,91,17:26:37,240,7,1,20,0
khBu7c7Iie4,FIREBOY X CRACKER MALLO X DICE AILES TYPE BEAT,2020-09-24,150,12:42:52,514,5,4,46,0
TBGSKb3fyEs,SHALLIPOPI X TEKNO TYPE BEAT,2023-09-28,64,17:15:35,169,2,0,28,0
wbIz9kZAyyg,KILLERTUNES TYPE BEAT,2021-01-02,171,05:59:11,121,3,2,21,0
r8S4Xidf180,REEKADO BANKS X KIDA KUDZ TYPE BEAT,2020-11-06,139,06:28:17,113,1,0,35,0
NCOR_5gumDI,REMA X AYRA STARR TYPE BEAT,2023-02-03,120,05:40:33,171,8,1,27,0
XtmFeCGD8mw,REMA X LONDON TYPE BEAT,2022-04-16,204,14:59:31,182,5,2,23,0
kU840yr9ztg,SINK (AFROBEATS TYPE BEAT),2022-02-25,69,15:17:49,55,1,3,26,0
O2IdOMNPAn8,VICTONY X TAVES TYPE BEAT,2022-10-21,114,05:06:03,178,4,1,25,0
NPwC46qPawQ,"[ FREE ] AFROBEAT INSTRUMENTAL WIZKID X REMA TYPE BEAT ""SAGE"" 2022",2021-12-21,141,15:30:55,154,5,2,66,0
ylnCSZ3FWUs,P.PRIME X TENI TYPE BEAT,2021-02-27,168,07:39:16,1711,21,4,24,1
kXEQDJvAngc,OMEGA (AFROBEATS TYPE BEAT),2021-10-01,185,16:39:30,83,2,0,27,0
_0QHwKJ4kQo,CROWDY (AFROBEATS TYPE BEAT),2023-01-13,84,09:59:34,63,0,0,28,0
gmHMx_4q15c,AJEBO HUSTLERS X OMAH LAY TYPE BEAT,2021-03-11,67,22:35:29,823,9,2,35,1
dVhqJ2LCDCA,LIGHT (AFROBEATS TYPE BEAT),2022-04-01,94,11:26:54,76,2,0,27,0
kTnYvi5eKfc,CKAY X MR EAZI TYPE BEAT,2022-01-21,76,15:16:13,133,5,0,24,0
LPInjlHZbro,PUSH (AFROBEATS TYPE BEAT),2022-05-07,79,11:30:38,56,3,1,26,0
wQ5sx7eRd-I,PERUZZI X FIREBOY TYPE BEAT,2021-05-14,86,13:51:23,76,0,0,27,0
ChFy_0DRxis,REMA X FIREBOY TYPE BEAT,2022-06-24,106,01:52:45,68,9,0,24,0
mA_0heIkFFc,REMA X RUGER TYPE BEAT,2021-09-24,88,16:20:26,183,6,0,22,0
VnZmkmT1siQ,OMAH LAY X AYRA STARR TYPE BEAT,2024-01-13,99,13:28:58,281,4,1,31,0
-j8gMf2VWF8,ODUMODUBLACK X SKEPTA TYPE BEAT,2023-04-07,126,07:43:43,141,2,1,31,0
8_X-WdUbDdA,GYAKIE X OMAH LAY TYPE BEAT,2021-12-18,92,06:05:30,429,7,0,27,0
2gd2a-S5pdY,WIZKID TYPE BEAT (GBEFUN),2020-09-16,162,00:04:30,53,4,0,25,0
vHx5BiC7l-A,YOUNG JONN X KING PROMISE,2023-07-29,129,09:25:36,460,12,0,25,0
lGE_HojhefI,WIZKID X UHURU TYPE BEAT,2022-05-05,101,14:10:53,180,2,2,24,0
gjVUCexk05c,TENI X PHEELZ TYPE BEAT,2021-08-14,89,08:27:43,172,3,2,23,0
O9V0_8DK5cM,NEXT (AFROBEATS TYPE BEAT),2022-09-17,176,07:20:08,95,5,1,26,0
DCNJU0eARhQ,CLOSE (OXLADE TYPE BEAT),2022-09-30,99,04:20:30,112,2,2,24,0
Kz8L3zU2iIM,ICE PRINCE X TEKNO TYPE BEAT,2020-11-13,162,07:57:19,1764,8,2,28,1
jZ8-thpBEzk,ASAKE TYPE BEAT,2022-09-22,165,19:50:15,124,4,0,15,0
7KBhTDscsx8,REMA X DON JAZZY TYPE BEAT,2023-03-03,86,13:07:56,415,8,0,26,0
lnhfGtNovqs,SEYI VIBEZ X ASAKE TYPE BEAT,2023-07-08,133,19:46:47,433,13,1,28,0
0co0Oh1pAas,WURLD TYPE BEAT,2021-08-30,66,17:07:35,85,3,0,15,0
XCmUcNhK4JA,TIMAYA X BUJU TYPE BEAT,2022-06-10,100,09:08:12,170,5,0,23,0
EnK0bdbRfqc,REMA X BOY SPYCE TYPE BEAT,2023-02-10,83,22:03:34,2888,38,0,26,1
9TTBP3g7vug,GAMMA (AFROBEATS TYPE BEAT),2021-10-22,116,14:41:04,91,4,2,27,0
yZzKalDlSHY,BAYANNI X REMA TYPE BEAT,2023-03-13,138,19:24:25,390,10,0,24,0
dN-n2E8mrcE,(SOLEMN) DAVIDO X TENI TYPE BEAT,2021-04-02,66,14:45:03,71,1,0,32,0
ELdCCQ73qec,(ESSENSE) WIZKID X TEMS TYPE BEAT,2021-04-30,118,08:44:23,38,0,0,33,0
MzMaz4AZf4w,SANTI TYPE BEAT,2022-04-26,153,18:04:25,133,3,1,15,0
f9J8kRK5dLQ,AFROBEATS TYPE BEAT (STREET),2021-06-12,89,14:51:00,44,1,0,28,0
D6P6jBTjZsA,ZINOLEESKY X NIPHKEYS TYPE BEAT,2022-05-21,86,07:04:51,415,6,5,31,0
U98tlxNlf24,CRUISE (OMAH LAY X OLAMIDE X FIREBOY TYPE BEAT),2021-02-19,152,23:18:11,92,3,1,47,0
qF2mRSaXjxw,ADEKUNLE GOLD X ZINOLEESKY TYPE BEAT,2023-04-14,84,16:23:04,190,3,0,36,0
W1nDJ10-aB8,PHEELZ X DAVIDO X OXLADE TYPE BEAT,2022-08-19,169,00:22:57,202,6,2,34,0
g-T-2qutZbU,MR EAZI TYPE BEAT (BETTY),2020-09-15,147,23:57:32,73,4,3,25,0
JL64B2mZUkk,PHEELZ X YOUNG JONN TYPE BEAT,2023-09-07,87,01:58:37,299,5,0,29,0
Mo0a-Fqyr14,BELLA SHMURDA X REMA TYPE BEAT,2022-03-11,92,16:02:14,120,1,1,30,0
AQfAP0S3FIQ,TENI X MAYORKUN TYPE BEAT,2023-01-20,81,09:18:38,137,7,0,25,0
JMo_cnk6dz8,TENI X DR DOLOR TYPE BEAT,2020-10-16,166,06:33:39,82,2,0,25,0
OGFs0EA7fvQ,DJ CUPPY X DJ SPINALL X FIREBOY TYPE BEAT,2021-04-10,77,09:51:01,119,3,1,41,0
mTKVVNkTMTk,KIZZ DANIEL BUGA TYPE BEAT,2022-07-08,174,10:39:19,114,0,0,26,0
5iQlShRcoow,DRAKE X WIZKID TYPE BEAT,2022-08-27,77,09:27:07,61,2,0,24,0
6dXv83RuNLg,REXXIE X OXLADE TYPE BEAT,2021-07-30,98,17:42:15,410,2,0,25,0
3RcVhRrY1Jc,PABLO ESCOBAR (AFROBEATS TYPE BEAT),2021-07-02,72,11:19:19,67,0,1,35,0
vgGPKgmGpw8,LOJAY X SARZ TYPE BEAT,2022-04-30,100,05:40:22,121,6,1,22,0
2AYyUqW85Lk,YEMI ALADE TYPE BEAT,2022-12-23,75,09:55:54,61,3,1,20,0
pJkMWaUZ9x8,(ELECTRIC) JOEBOY X DERA TYPE BEAT,2021-03-19,83,07:30:28,64,1,3,34,0
B6RXCDuevSA,BUJU X BURNA BOY TYPE BEAT,2021-12-31,129,15:46:45,160,5,0,26,0
lcLekOtJxfk,NAIRA MARLEY TYPE BEAT (RUMBLE),2020-09-16,154,00:13:33,167,5,0,31,0
1n1RhQK2l_M,FAVE X OLAMIDE TYPE BEAT,2022-02-19,176,10:38:51,95,5,0,24,0
eSbjNGT9Mno,UMU OBILIGBO TYPE BEAT,2020-12-05,201,05:26:14,374,10,1,22,0
NaKFa4IuxWw,ADEKUNLE GOLD X FIREBOY TYPE BEAT,2020-10-30,177,04:39:40,55,1,0,33,0
QOoLecLJynk,HEAL (AMAPIANO TYPE BEAT),2022-08-05,153,08:37:43,108,7,0,25,0
C7e3NE4Edm0,REXXIE X NAIRA MARLEY TYPE BEAT,2022-10-27,151,15:18:36,148,2,0,31,0
OpOA064L4OQ,LONER (AFROBEATS TYPE BEAT),2022-04-30,147,05:38:14,62,1,1,27,0
zcFzAI3dhYU,CRAYON TYPE BEAT,2022-01-28,137,15:22:52,135,4,0,16,0
922alL_ygOw,{FREE} REMA X CHRIS BROWN TYPE BEAT,2022-03-21,175,20:15:57,231,6,0,35,0
34tjYdSlnLg,ASAKE X FIREBOY TYPE BEAT,2022-08-12,125,08:30:00,136,8,3,25,0
-Ig_iniw-5w,AZANTI X KHAID X TAVES TYPE BEAT,2022-07-29,85,05:55:39,196,4,0,32,0
bMWpVBf_ac4,DRAKE X TEMS X REMA TYPE BEAT,2021-09-10,252,18:36:18,755,13,0,29,1
N4MQoLY67gs,T-CLASSIC X MAYORKUN TYPE BEAT,2020-10-02,123,08:54:00,140,2,2,30,0
qQd8zXeBNbk,CKAY X JOEBOY X OMAH LAY TYPE BEAT,2022-01-14,79,10:11:39,110,3,1,34,0
vOxirvgo7HE,BURNA BOY X BYRON MESSIA TYPE BEAT {SOLD},2023-11-29,187,16:55:04,85,3,0,41,0
8ZG8gXLRQIY,JOHNNY DRILLE TYPE BEAT,2020-12-19,194,00:50:22,511,7,0,23,0
PstZy_NDt3Q,SEYI VIBEZ TYPE BEAT,2021-11-20,99,11:28:44,4382,47,1,20,1
AqRh5MjdN3w,ZLATAN X DAVIDO TYPE BEAT,2022-04-08,132,17:00:26,356,9,1,25,0
fkPBm42Rnfc,REMINISCE TYPE BEAT,2020-12-11,155,22:24:19,49,1,0,19,0
5mO4UBBS0A8,WIZKID X REMA OMAH LAY TYPE BEAT,2022-06-17,99,00:23:57,62,2,2,32,0
fDjPNNkefqc,DON JAZZY X CRAYON X MR EAZI TYPE BEAT,2022-09-02,67,09:05:03,174,6,0,38,0
QO0BYiMUL4k,CHIKE TYPE BEAT,2021-02-13,159,13:09:59,1039,12,1,15,1
9htpUasHfZY,TOBI LAUD TYPE BEAT,2023-03-24,152,08:42:11,128,3,0,19,0
PEVTIwvNjYI,TENI X NONSO AMADI TYPE BEAT,2022-04-16,151,14:58:13,190,5,0,28,0
m8Sgvj7tD_w,JINMI ABDULS X OXLADE X JOEBOY TYPE BEAT,2020-12-26,131,07:22:25,214,2,0,40,0
IASDqq2C_XU,BURNA BOY TYPE BEAT (INTRO),2021-12-03,161,15:47:05,118,3,1,27,0
x5O5x5sRoGQ,FAVE X TENI TYPE BEAT,2022-02-11,79,16:25:30,140,1,0,21,0
MpbweU3RN9M,(SMOOTH) FIREBOY TYPE BEAT,2021-04-17,81,10:41:48,78,5,1,26,0
Xb5QSouAtQU,TRENT (AFROBEATS TYPE BEAT),2021-11-12,185,17:07:51,131,2,0,27,0
-g_9TzgD6VI,JOEBOY TYPE BEAT,2020-10-23,201,08:31:54,55,2,1,16,0
CHO1aBSK2UI,YOUNG JONN TYPE BEAT,2022-12-02,87,06:03:31,327,9,3,20,0
